function_name,signature,source_file,full_name,index
listGET_LIST_ITEM_VALUE,ANY(2),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portSVC_START_SCHEDULER:int(0),693
listIS_CONTAINED_WITHIN,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/queue.h:queueQUEUE_TYPE_COUNTING_SEMAPHORE:ANY(0),694
tskSTACK_FILL_BYTE,ANY(3),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/timers.h:tmrCOMMAND_START_FROM_ISR:ANY(0),695
xQueueSendFromISR,ANY(3),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portMPU_REGION_ATTRIBUTE_REG:ANY(0),696
MPU_StoreTimerHandleAtIndex,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:taskRESERVED_TASK_NAME_LENGTH:unsigned int(0),697
prvLockQueue,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:MPU_StoreQueueHandleAtIndex:ANY(2),698
taskYIELD_TASK_CORE_IF_USING_PREEMPTION,ANY(2),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/list.h:listGET_OWNER_OF_HEAD_ENTRY:ANY(1),699
listINSERT_END,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c:tmrNO_DELAY:ANY(0),700
portTASK_IS_PRIVILEGED_FLAG,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:MPU_GetStreamBufferHandleAtIndex:ANY(1),701
portSET_INTERRUPT_MASK_FROM_ISR,ANY(3),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c:queueLOCKED_UNMODIFIED:ANY(0),702
portIS_ADDRESS_WITHIN_RANGE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c:prvRECEIVE_COMPLETED:ANY(1),703
queueSEND_TO_BACK,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portNVIC_IP_REGISTERS_OFFSET_16:ANY(0),704
taskYIELD,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portPRIVILEGED_RAM_REGION:ANY(0),705
PRIVILEGED_DATA,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:tskSTATICALLY_ALLOCATED_STACK_ONLY:ANY(0),706
tmrCOMMAND_DELETE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:KERNEL_OBJECT_TYPE_TIMER:ANY(0),707
portTOP_BIT_OF_BYTE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portNVIC_SYSTICK_ENABLE:ANY(0),708
portIS_TASK_PRIVILEGED,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:taskEXIT_CRITICAL_FROM_ISR:ANY(1),709
portBASE_TYPE_EXIT_CRITICAL,unsigned int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:taskTASK_IS_RUNNING_OR_SCHEDULED_TO_YIELD:ANY(1),710
tmrSTATUS_IS_AUTORELOAD,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/list.h:listGET_LIST_ITEM_VALUE:ANY(1),711
taskWAITING_NOTIFICATION,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/list.h:listIS_CONTAINED_WITHIN:ANY(2),712
portMPU_REGION_PRIVILEGED_READ_WRITE,ANY(2),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:tskSTACK_FILL_BYTE:ANY(0),713
xQueueCreate,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/queue.h:xQueueSendFromISR:ANY(3),714
tskDEFAULT_INDEX_TO_NOTIFY,ANY(2),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:MPU_StoreTimerHandleAtIndex:ANY(3),715
heapMULTIPLY_WILL_OVERFLOW,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c:prvLockQueue:ANY(1),716
configTOTAL_HEAP_SIZE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:taskYIELD_TASK_CORE_IF_USING_PREEMPTION:ANY(1),717
tmrSTATUS_IS_AUTORELOAD,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/list.h:listINSERT_END:ANY(2),718
prvGetTCBFromHandle,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portTASK_IS_PRIVILEGED_FLAG:ANY(0),719
MPU_GetEventGroupHandleAtIndex,int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portSET_INTERRUPT_MASK_FROM_ISR:ANY(0),720
portBYTE_ALIGNMENT,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portIS_ADDRESS_WITHIN_RANGE:ANY(3),721
tmrCOMMAND_CHANGE_PERIOD,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/queue.h:queueSEND_TO_BACK:ANY(0),722
heapBLOCK_IS_ALLOCATED,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:taskYIELD:ANY(0),723
heapFREE_BLOCK,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/mpu_wrappers.h:PRIVILEGED_DATA:ANY(0),724
portACL_ENTRY_SIZE_BITS,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/timers.h:tmrCOMMAND_DELETE:ANY(0),725
listREMOVE_ITEM,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portTOP_BIT_OF_BYTE:ANY(0),726
tmrCOMMAND_EXECUTE_CALLBACK_FROM_ISR,ANY(3),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portIS_TASK_PRIVILEGED:ANY(0),727
traceEVENT_GROUP_WAIT_BITS_END,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/portable.h:portBASE_TYPE_EXIT_CRITICAL:ANY(0),728
configSYSTEM_CALL_STACK_SIZE,,/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c:tmrSTATUS_IS_AUTORELOAD:unsigned int(0),729
